Curhat,Judul,Link,Topic,Keluarga,Percintaan,Anak Remaja,Pengembangan Diri,Trauma,Phobia,Masalah Emosi,Bullying,Bukan Psikologi
sore dok nama naomi menghilangkan trauma kecil dibully teman sebayan menghadapinya mendapatakn amp tragis terulang menimbulkan trauma,Trauma masa kecil tentang bully,https://www.alodokter.com/komunitas/topic/trauma-masa-kecil-tentang-bully,Trauma,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
selamat malam dok melakukan operasi benjolan daun telinga operasi daun telinga gatal agak membekak lukanya perban faktor mungkin makanan terimakasih,gatal dan bengkak pada bekas luka operasi,https://www.alodokter.com/komunitas/topic/gatal-dan-bengkak-2,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
selamat sore dok jatuh ketingian 4meter sedakan kaki luka lecet kejafianya 15 urut bediri atuo jalan ngilu telapak kaki usia 37thn dok infonya iya dok terima kasih,Solusi atasi ngilu pada kaki setelah terjatuh dari ketinggian 4 meter,https://www.alodokter.com/komunitas/topic/apa-obat-buat-penghilang-neri-2,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dok habis jatuh motor badan dok selang 4jam habis duduk bokong sakit duduk sakit kira kira iya dok terimakasih dokter,Penyebab anus terasa sakit setelah terjatuh dari motor,https://www.alodokter.com/komunitas/topic/apa-sebenarnya-yang-sedang-saya-rasakan,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
selamat siang dok gini dok tenggorokan gusi 3 sakit mengunyah menelan mulut dibuka lebar sakitnya dibawah rahang belakang tonjolan ditekan sakit dok iya dok ayg lakukan biar,Tenggorokan dan gusi disebelah kanan sakit,https://www.alodokter.com/komunitas/topic/tenggorokan-dan-gusi-disebelah-kanan-sakit,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hai dok wulan febriatin umur 15th r ndok dok dikepala benjolan nyeri dok kira kira benjolan disebabkan dok gejala r nmohon bantuannya iya dok terimakasih,kepala sebelah kiri  ada benjolan,https://www.alodokter.com/komunitas/topic/kenapa-dibagian-kepala-saya-sebelah-kiri-yg-dkt-leher-ada-benjolan,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
terima kasih dr mega muzdalifah sdh menjawab pertaxan selamat pagi dok 2 sekolah jari manis tertumbuk meja jari manis kelingking jari tertumbuk meja bengkak telapak tangan sakit urut perubahan sembuhinnya dok terima kasih r r nsy dok r nkan telapak tangan bengkak tulang jari manis tulangnya tangan genggam sperti tangan sebelah dok bandingkan tertutupi bengkaknya terima kasih dok,Penyembuhan tangan bengkak akibat terkilir,https://www.alodokter.com/komunitas/topic/jari-tangan-terkirilir,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
nama elma haliana putri brsaya mahasiswi umur 19 thun brmau dok jatuh terlentang membentur kepala bagian belakang brstelah 1 periksa dokter spesialis saraf dokter spesialisnya cidra benturan 3 brtapi uda 1 sakitnya berkepanjangan sakit dibagian kepala belakang air berjalan brapa lakukan dok brdan berbahaya brterimakasih dokter,Sakit di kepala bagian belakang tak kunjung hilang setelah terbentur 1 tahun lalu,https://www.alodokter.com/komunitas/topic/apa-yang-harus-dilakukan-10,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
siang dok r nnama cahya r nsaya dagu sakit tekan atasinya iya dok kedokter kasih obat nyeri banget r nmkanan aph pantrang iya dok r nobat lebbih bagus aph r nmakin kesini sakit dok,Mengatasi nyeri di bawah dagu,https://www.alodokter.com/komunitas/topic/nyeri-di-bawah-dagu-2,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jatuh tangga alhamdulillah pas diurut tukang urut tulang kenapa2 disampingnya ditilang ekor merasakan ngilu dipantat sebelah kiri duduk lama2 mohon resep obat menyembuhkan sakit obat diminum amp dioleskan salep,Solusi pengobatan nyeri bagian anus setelah terjatuh dari tangga,https://www.alodokter.com/komunitas/topic/obat-sakit-tulang-ekor,Trauma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
