Curhat,Judul,Link,Topic,Keluarga,Percintaan,Anak Remaja,Pengembangan Diri,Trauma,Phobia,Masalah Emosi,Bullying,Bukan Psikologi
"""Sore dok,nama saya naomi,saya mau nanya,bagaimana cara menghilangkan trauma di masa kecil tentang dibully sama teman sebayan , cara menghadapinya jika sy mendapatakn masalah itu lagi \u0026amp; bagaimana cara supaya masalah tragis itu tidak pernah terulang lagi sehingga itu tidak akan menimbulkan trauma lagi?""",Trauma masa kecil tentang bully,https://www.alodokter.com/komunitas/topic/trauma-masa-kecil-tentang-bully,Trauma,0,0,1,0,1,0,1,1,0
"""Selamat malam dok, saya ingin bertanya , saya telah melakukan operasi benjolan di daun telinga. Tapi beberapa hari setelah operasi daun telinga saya terasa gatal dan agak membekak, apakah karena lukanya di perban atau ada faktor lain mungkin dari Makanan, Terimakasih.""",gatal dan bengkak pada bekas luka operasi,https://www.alodokter.com/komunitas/topic/gatal-dan-bengkak-2,Trauma,0,0,0,0,0,0,0,0,1
"""Met sore dok saya jatuh dari ketingian 4meter sedakan kaki saya kagak ada yg luka luar maupun lecet itu kejafianya udah 15 hari udah di urut kenapa setiap saya buat bediri atuo jalan itu ada rasa ngilu di bawah telapak kaki usia saya 37thn dok tolong infonya ya dok makasih""",Solusi atasi ngilu pada kaki setelah terjatuh dari ketinggian 4 meter,https://www.alodokter.com/komunitas/topic/apa-obat-buat-penghilang-neri-2,Trauma,0,0,0,0,0,0,0,0,1
"dok saya mau tanya jadi tadi saya habis jatuh dari motor tapi badan saya tidak apa apa dok ,tapi terus selang 4jam habis buat duduk kok tiba tiba bokong saya rasanya sakit kalau buat duduk lagi itu rasanya sakit, itu kira kira kenapa ya dok? Terimakasih dokter",Penyebab anus terasa sakit setelah terjatuh dari motor,https://www.alodokter.com/komunitas/topic/apa-sebenarnya-yang-sedang-saya-rasakan,Trauma,0,0,0,0,0,0,0,0,1
"""Selamat siang dok, gini dok tenggorokan dan gusi saya sudah 3 hari sakit mengunyah ataupun menelan, bahkan saat mulut saya dibuka lebar akan terasa sakitnya dan dibawah rahang belakang saya seperti ada tonjolan kalau ditekan sakit dok, kalau seperti itu kenapa ya dok? Hal apa saja ayg harus saya lakukan biar bisa seperti biasa lagi?""",Tenggorokan dan gusi disebelah kanan sakit,https://www.alodokter.com/komunitas/topic/tenggorokan-dan-gusi-disebelah-kanan-sakit,Trauma,0,0,0,0,0,0,0,0,1
"""Hi! Dok aku wulan febriatin umur aku 15th!\r\nDok? Aku mau nanya nih dok😊, dikepala saya ada benjolan tidak besar tapi terasa nyeri dok, kira-kira benjolan itu disebabkan oleh apa y dok? Dan gejala apa yg akan terjadi?\r\nMohon bantuannya ya dok! Terimakasih.""",kepala sebelah kiri  ada benjolan,https://www.alodokter.com/komunitas/topic/kenapa-dibagian-kepala-saya-sebelah-kiri-yg-dkt-leher-ada-benjolan,Trauma,0,0,0,0,0,0,0,0,1
"""Terima kasih buat dr. Mega Muzdalifah sdh menjawab pertaxan yg sy beri : \""selamat pagi dok,2 hari lalu saat sy d sklh jari manis saya tertumbuk di meja jdi antara jari manis kelingking dan jari tengah tertumbuk meja dan menjadi bengkak d telapak tangan dan sakit saya urut tapi tidak ada perubahan. cara sembuhinnya bagaimana dok? terima kasih\""\r\n\r\nSy mau bertanya lagi dok\r\nKan telapak tangan saya bengkak, trus tulang jari manis sy tidak terlalu kelihatan tulangnya jika tangan saya genggam,tidak sperti di tangan sebelah saya dok,sy bandingkan kok tidak sama, apa karena tertutupi bengkaknya? Terima kasih dok.""",Penyembuhan tangan bengkak akibat terkilir,https://www.alodokter.com/komunitas/topic/jari-tangan-terkirilir,Trauma,0,0,0,0,0,0,0,0,1
"nama saya elma haliana putri, \u003cbr\u003esaya mahasiswi umur 19 thun,\u003cbr\u003emau tanya dok saya pernah jatuh terlentang dan membentur kepala bagian belakang,\u003cbr\u003estelah 1 bulan saya baru periksa ke dokter spesialis saraf dan menurut dokter spesialisnya itu masih cidra pada benturan yang biasanya berlangsung selama 3 bulan...\u003cbr\u003etapi sekarang uda 1 tahun lebih sakitnya masih berkepanjangan dan jika sakit dibagian kepala belakang saya seperti ada air yang berjalan...\u003cbr\u003eapa yang harus saya lakukan selanjutnya dok?\u003cbr\u003edan apakah itu berbahaya?\u003cbr\u003eterimakasih dokter",Sakit di kepala bagian belakang tak kunjung hilang setelah terbentur 1 tahun lalu,https://www.alodokter.com/komunitas/topic/apa-yang-harus-dilakukan-10,Trauma,0,0,0,0,0,0,0,0,1
"""Siang dok .\r\nNama saya cahya\r\nSaya mau bertanya di bawah dagu saya sakit kalo di tekan . gmana cara atasinya ya dok ? Sudah kedokter tapi di kasih obat oleh malah tambah nyeri bgt . .\r\nMkanan aph saja yg pantrang ya dok ??\r\nObat yg lebbih bagus aph ???\r\nMakin kesini sakit dok""",Mengatasi nyeri di bawah dagu,https://www.alodokter.com/komunitas/topic/nyeri-di-bawah-dagu-2,Trauma,0,0,0,0,0,0,0,0,1
"""Saya jatuh dari tangga. Alhamdulillah pas diurut sama tukang urut tulang GA kenapa2 cuma disampingnya saja bukan ditilang ekor. Cuma sekarang saya merasakan ngilu dipantat sebelah kiri KLO duduk lama2. Mohon resep obat untuk menyembuhkan sakit saya ini baik obat untuk diminum \u0026amp; dioleskan/salep""",Solusi pengobatan nyeri bagian anus setelah terjatuh dari tangga,https://www.alodokter.com/komunitas/topic/obat-sakit-tulang-ekor,Trauma,0,0,0,0,0,0,0,0,1
"dok, saya pernah mengalami kecelakaan waktu berusia 12 tahun. sekarang saya 19. kecelakaan itu cukup parah dan membuat saya mengalami koma selama 1,5 bulan. setelah absen sekolah selama setengah tahun di kelas 7 SMP, saya melanjutkan langsung semester 2. setelah kecelakaan ini saya merasa tidak sama lagi dengan dulu. teman-teman SD saya juga bilang begitu. komentar yang paling jelas, saya tidak sepintar dulu. selain itu saya juga tidak bisa bersosialisasi layaknya manusia normal. saya mendengar teman-teman sekelas saya mengobrol, tapi saya tidak mengerti apa yang mereka bicarakan dan ditambah tak ada yang mengajak saya berinteraksi juga. alhasil, saya dibully oleh semua anak seangkatan saya. sekitar 300-an orang lebih. selama 3 tahun di SMP juga saya tak pernah punya teman sebangku dan semua orang menjauhi saya. saya tidak tahu kenapa. saat kelas 9, saya mulai menciptakan teman-teman saya sendiri dan menulis cerita yang dimainkan oleh mereka. saya tidak merasa begitu menderita lagi karena ada mereka. lulus SMP, saya pindah ke pedalaman jatim. karena culture shock ditambah trauma bullying berkepanjangan itu, saya dibully lagi di sekolah ini. saya tidak bisa punya teman. saya tidak tau bagaimana caranya bersosialisasi. saat itu saya juga mulai tidak memiliki empati atau simpati terhadap manusia. ini karena sikap orang-orang di dekat saya yang sangat acuh. saat saya menanyakan sesuatu, seperti, kenapa kemarin aku pas jalan jatuh, ya, jawaban mereka; mana aku tau. gitu aja. nggak ada perhatian sama sekali. atau kalau saya berkata, ih, ini bagus banget deh, tanpa diminta, orang-orang di sekitar akan merespon, biasa aja tuh, lebay kamu. saya jadi trauma sekali dengan kata lebay karena keluarga saya pun pernah mencemooh saya seperti itu saat saya bercerita masalah saya padanya. seolah, semua tentang saya lebay. saya berpikir saja kalau semua penderitaan orang lain itu lebay. biar adil begitu. singkat kata, saya mulai jadi heartless. saya bahkan tidak begitu peduli melihat orangtua saya menangis dan malah kesal karena setiap saya sedih, saya paling dimarahi. saya juga tidak pernah mengalami jatuh cinta atau merindukan siapa pun lagi. saat masih sekolah, kesan saya adalah misterius dan nggak punya temen. tapi saya nggak peduli. saya sangat kesulitan merespon sesuatu dengan benar dan moody. saya maunya membahagiakan semua orang. meskipun saya harus berbohong. karena itu saat orang berkata buruk pada saya tanpa saringan dengan alasan, yang penting jujur, saya akan mendendam padanya seumur hidup. seperti saat ada orang yang menggoda saya, saya tak bisa bereaksi seperti cewek pada umumnya yang aaakh aaakh teriak-teriak gaje. saya bisa dibilang dingin dan careless. saya tidak bisa tersenyum tulus. semua yang saya lakukan itu overacting. diada-adakan karena saya nggak ngerti harusnya manusia itu bagaimana sih? saya sangat takut dan mudah khawatir dengan keberadaan orang lain. saya ini kasarnya, mayat hidup. jatuh cinta saya anggap menyusahkan. bersahabat saya anggap beresiko (saya sering dikhianati manusia yang sudah saya anggap teman. karenanya sekarang semua orang saya sebut kenalan/rekan saja). saya sudah sering sekali mendatangi psikiater untuk menyelesaikan masalah saya ini. tapi hasilnya tak ada yang memuaskan. mereka tak bisa membri saya kejelasan apa yang terjadi pada saya. sekarang saya sudah lulus SMA dan saya khawatir mlanjutkan sekolah. saya takut dibully lagi. karena saya sama sekali tidak mengerti manusia. sama seperti saya tidak memahami diri saya sendiri sementara setau saya, sepertinya semua kondisi pikiran manusia bisa dijelaskan lewat psikologi. bagaimana cara agar saya bisa kembali jadi manusia normal? saya mohon bantuannya, maaf jika pertanyaan saya panjang. terima kasih.",Gangguan kejiwaan pasca trauma kecelakaan,https://www.alodokter.com/komunitas/topic/gangguan-kejiwaan-pasca-trauma-kecelakaan,Trauma,0,0,1,0,1,0,1,1,0
Pagi dok..mau tanya dok saya mengalami nyeri pada salah satu buah zakar saya..kerasa baru semalam gara gra duduk yang gak pas pada posisinha mungkin semacam kegencet...Dan sampe pagi ini nyerinya masih terasa...kira kira obatnya apa dok...trus apa langkah yang harus saya ambi..trmakasih dokter,Mengatasi nyeri pada buah zakar,https://www.alodokter.com/komunitas/topic/nyeri-pada-buah-zakar-2,Trauma,0,0,0,0,0,0,0,0,1
Malam dok ingin bertanya kalau trauma apa bisa hilang?dan takut banget Deket sama cowok karna ngeliat mantan dan ayahku juga kasar kekerasan dan aku jadi takut kalo Deket gemeteran dan deg²an itu knp ya dok dan kalo udh beraniin malah aku ngerasa nyalahin diri aku bgt Ampe diri aku sendiri aku benci kadang kalo marah gabisa kontrol emosi dan gabisa diluapkan kalo marah atau tentang trauma inget aku sampe narik² rambut  jadi harus gmn ya dok? terimakasih dok,Bagaimana cara mengatasi trauma dekat dengan lawan jenis?,https://www.alodokter.com/komunitas/topic/bagaimana-cara-mengatasi-takut-dari-trauma-tersebut-,Depresi,1,1,0,0,1,0,1,0,0
Selamat sore dok.. saya mempunyai keluarga yang mudah depresi. saat saya menghadapinya awalny mungkin saya bisa sabar. sampai akhirnya dia melukai saya lalu saya jd terbawa emosi. apakah saya juga bisa menjadi deperesi dok jika mengalami ini terus?,Apakah bisa menjadi depresi juga ketika sering menghadapi keluarga yang depresi?,https://www.alodokter.com/komunitas/topic/apakah-ketika-kita-menghadapi-orang-depersi-bisa-juga-menjadi-depresi-,Depresi,1,0,0,0,0,0,1,0,0
"Hallo dok, saya mengalami depresi kurang lebih 3 hari belakangan ini. Saya menarik diri dari lingkungan dan saya menghabiskan waktu di ruangan saya saja. Terkadang saya membenci diri saya sendiri. Apa yang harus saya lakukan dok untuk bertahan di situasi saya ini? Saya merasa hopeless",Apa yang harus dilakukan saat depresi?,https://www.alodokter.com/komunitas/topic/depresic61160,Depresi,0,0,0,1,0,0,1,0,0
"Halo Dok, saya ingin bertanya. Beberapa minggu terakhir saya seringkali mendengar suara seseorang yang memanggil dengan menangis, namun saat saya datangi orang tersebut, ternyata orang tersebut baik baik saja dan tidak menangis. Suaranya sangat jelas sehingga setiap kali mendengar suara tersebut saya seringakali terburu buru mendatanginya karna khawatir terhadap orang tersebut. Kejadian tersebut sudah berulang kali terjadi. Beberapa bulan terkahir saya juga mengalami kehilangan minat dengan banyak hal, tidur sangat berlebihan, penurunan berat badan, sakit kepala, dan mood yang naik turun. Apakah ada kaitannya atau apakah ada masalah dengan telinga saya?Terima kasih.",Sering mendengar suara orang menangis namun suara tersebut tidak ada,https://www.alodokter.com/komunitas/topic/mendengar-suara-seseorang-yang-tidak-ada,Depresi,0,0,0,0,0,0,0,0,1
"Halo dok, saya mau bertanya. Beberapa hari lalu kakek saya meninggal, tapi anehnya saya ga bisa merasakan apa-apa. Sedih tidak, menangis pun tidak. Semuanya tampak biasa saja. Saya pun sering mengunci diri dalam kamar, kadang kala sering merasa di abaikan dan jarang makan. Mood berubah-ubah, kadang kala saya juga kesulitan mengatur apa yang ingin saya lakukan. Sulit tidur dan yang paling penting saya merasa seperti saya mati rasa. Saya bisa ketawa haha-hihi di antara banyak orang tapi ketika sendirian saya pun bingung kenapa dengan diri saya sendiri. Tolong jelaskan saya ini sebenernya kenapa ya dok🙏","Tidak merasakan apa-apa saat orang terdekat meninggal, mood mudah berubah dan sulit tidur",https://www.alodokter.com/komunitas/topic/gangguan-mental-0b76b4,Depresi,0,0,0,1,0,0,1,0,0
"Hallo Dok...saya ingin bertanya. Jika pernah mengalami depresi karena kehilangan orang terdekat, mungkinkah depresi tersebut bisa kambuh ketika mengalami hal yang sama meski dalam rentan waktu yang lama?Apakah jika mengalami gejala depresi seperti sulit tidur, dada sesak tanpa sebab, kehilangan nafsu/gairah hidup boleh mengonsumsi obat?Selain itu, apa yang harus dilakukan agar bisa meminimalisir rasa sedih dan bersalah yang besar karena kehilangan org terdekat?Mohon penjelasannya dok..terima kasih",Kemungkinan depresi ringan bisa kambuh kembali,https://www.alodokter.com/komunitas/topic/depresi-ringanacad91,Depresi,0,0,0,1,0,0,1,0,0
"Halo dok, saya mau tanya, beberapa bulan ini teman saya seperti sedang mengalami depresi entah apa itu sebabnya soalnya setiap ditanya dia selalu jawab tidak tau dan bingung pada dirinya sendiri. Kalo ditanya \""kamu kenapa?\"" Dia suka bingung sendiri dan kalo diajak ngobrol suka tidak nyambung, kalo ditanya  juga suka muter muter jawabannya, terkadang juga suka ngomong sendiri dan kalo sedang dinasehati atau ada orang yang banyak bicara kepadanya mala merasa pusing katanya, terkadang juga dia merasa kedinginan dan juga jarang mau keluar rumah kadang juga tidak ada apa apa tiba tiba nangis sendiri dan kalo ditanya nangis kenapa dia jawabnya tidak tau dan bingung sendiri.Untuk kasus seperti yang dialami teman saya ini cara menyikapinya bagaimana dok, apa harus diterapi atau bagaimana?",Penanganan pada orang yang mengalami depresi,https://www.alodokter.com/komunitas/topic/bagaimana-sebaiknya-kita-menyikapi-orang-yang-depresi-atau-sedang-mengalami,Depresi,0,0,1,0,0,0,1,0,0
"hallo dok, saya sering merasa cemas dan bahkan takut ketika berinteraksi dengan orang lain selain keluarga saya. saya sangat takut dan cemas untuk percaya kepada orang lain oleh karena itu saya menjadi sangat tertutup terhadap orang lain, saya sangat takut jika mereka menghianati saya nantinya. dan ketika saya mulai membuka diri untuk percaya tiba-tiba rasa cemas dan takut itu datang.\u003c/p\u003e\n\u003cp\u003eselain itu juga saya mudah tersinggung terhadap perkataan orang lain terhadap saya, dan membuat saya sangat terluka tetapi saya selalu memperlihatkan bahwa saya tidak terluka. terkadang ketika saya berkumpul dengan teman-teman, saya sering memperhatikan mereka dan entah mengapa saya membaca pikiran mereka.\u003c/p\u003e\n\u003cp\u003ehal ini mengganggu saya dok, yang membuat saya tiba-tiba menjadi sedih,tidak ingin bicara dengan orang lain disekitar saya,ingin tidur terus menerus dan bahkan menangis.","Penyebab sedih, keinginan tidur terus-menerus dan bahkan menangis",https://www.alodokter.com/komunitas/topic/gangguan-kepribadian-apa-yang-saya-alami-,Depresi,0,0,0,1,0,1,1,0,0
"dok, mau nnya, sy merasa seperti mood sy terus berubah, kdng jg merasa ingin melukai diri sendiri,tidak suka keramaian, stress,pusing, bahkan smpai hampir ingin pingsan, jadi menurut dokter ini termasuk penyakit apaya, mksih","Penyebab mood swing, merasa ingin melukai diri sendiri, dan tidak suka keramaian",https://www.alodokter.com/komunitas/topic/hal-seperti-ini-merupakan-jenis-penyakit-apa,Depresi,0,0,0,1,0,0,1,0,0
gapph cerita dulu aja.. :) soal nya ga tau mau cerita kemana lagiii heheee... dok saya azizah 18 tahun bru lulus SMA kayak nya kesehtan mental zah keganggu deh sering sediiih nangis cemas ttg masa depan. tros klo lagi sedih dada tu sesek ... kek ada ngikaat .. zah butuh obat biar ga sedih sedih lagi capeeek... masa tiap hari nangis tiap minggu . pengen konsul tapi takut ga ada yg nemenin belom cerita ke ortu . pendem sendiri  butuuuuuuh bgt obattt .. tros kadang jga sering ke pikiran buat mati . klo mati enak kali yaa....  butuh obaaat hiiks :'),"Merasa sedih, cemas dan keinginan bunuh diri",https://www.alodokter.com/komunitas/topic/kesehatan-mental8f8e53,Depresi,0,0,1,1,0,0,1,0,0
"Selamat malam dok, saya ingin bertanya, setiap saya berkumpul/berbicara dengan orang lain saya bisa tertawa lepas, merasa senang, tetapi jika saya sendiri, saya selalu menangis tanpa sebab, bingung. Saya selalu merasa kesepian, entah itu ada teman ataupun sendiri. Kalau saya ada masalah/beban, saya menangis sampai sesak nafas, tanpa sadar melukai diri sendiri. Seringkali juga dengan sadar melukai diri sendiri jika tertekan . Selalu menyalahkan diri sendiri. Selalu merasa bahwa bunuh d*r* adalah jalan terbaik. Apakah itu tanda bahwa saya depresi dok? Terimakasih","Merasa kesepian, sering menangis dan melukai diri sendiri",https://www.alodokter.com/komunitas/topic/merasa-kesepian-dan-putus-asa,Depresi,0,0,0,1,0,0,1,0,0
"Dokter, saya sering sekali dibandingkan dengan anak tetangga sebelah, ibu saya sering berkata \""kamu itu hidup kok sia sia sih ? Coba lihat si A dia sangat rajin sekali\"" padahal setiap orang pasti berbeda kan dok ? Saya sampai overthinking tentang ini sampai saya berniat untuk bunuh diri saja karena saya sudah dianggap tidak berguna oleh ibu saya sendiri, bagaimana solusinya ini dok ?",Mengatasi rasa tertekan akibat sering dibanding-bandingkan,https://www.alodokter.com/komunitas/topic/saya-sering-sekali-dibandingkan-dengan-anak-tetangga-sebelah,Depresi,1,0,1,0,0,0,0,0,0
